id,state,bill_number,haiku_stance,relevance_conf,adjudicator_stance(claude-opus-4-8),adjudicator_conf,adjudicator_rationale,source_url,title,human_verdict
30814,OR,HB-3973,weakens,0.95,advances,0.7,"By removing the stewardship-collection condition for excluding architectural paint, the bill ensures paint covered under the paint stewardship program is not double-regulated, preserving the dedicated paint EPR framework rather than carving paint out of producer responsibility entirely.",https://olis.oregonlegislature.gov/liz/2025R1/Measures/Overview/HB3973,Relating to paint; declaring an emergency.,
31428,NY,S-2097,weakens,0.95,advances,0.78,"The bill provides antitrust safe-harbor immunity to facilitate compliance with carpet EPR program obligations, supporting implementation of the producer responsibility scheme.",http://www.nysenate.gov/legislation/bills/2025/S2097,Relates to extended producer responsibility for carpet,
31440,NY,A-2103,weakens,0.95,advances,0.8,"By providing antitrust safe-harbor for actions required under the carpet EPR program and producer plans, the bill enables and supports implementation of the extended producer responsibility framework.",http://www.nysenate.gov/legislation/bills/2025/A2103,Relates to extended producer responsibility for carpet,
33304,SC,H-4035,weakens,0.95,advances,0.7,"The bill extends the existing e-waste manufacturer responsibility/recovery program and its regulation to a later sunset date, continuing the EPR policy rather than terminating it.",https://www.scstatehouse.gov/billsearch.php?billnumbers=4035&session=124&summary=B,E-Waste Act Sunset Provision With Regulation,
33347,NY,A-8391,weakens,0.95,advances,0.7,"The bill modernizes the bottle deposit-return system by adjusting handling fees, audit rights, and definitions to strengthen redemption operations, with the small-dealer exemption being a minor carve-out within an otherwise system-strengthening framework.",https://legislation.nysenate.gov/api/3/bills/2025-2026/A8391?summary=&detail=,Relates to returnable beverage containers; repealer,
33553,NY,S-7722,weakens,0.95,advances,0.6,"The bill modernizes the bottle bill with adjusted handling fees and audit provisions to strengthen the deposit-return system, though it adds a small-dealer redemption exemption.",http://www.nysenate.gov/legislation/bills/2025/S7722,Relates to returnable beverage containers; repealer,
34698,RI,HB-7023,weakens,0.95,advances,0.95,"The bill establishes an Extended Producer Responsibility program for packaging (the Package Reduction and Recycling Program), creating a new circular-economy framework.",https://status.rilegislature.gov/,AN ACT RELATING TO HEALTH AND SAFETY -- EXTENDED PRODUCER RESPONSIBILITY FOR PACKAGING,
35089,RI,SB-200,weakens,0.95,advances,0.95,"The bill establishes an Extended Producer Responsibility program for packaging (Package Reduction and Recycling Program), creating and funding a core circular-economy policy.",https://status.rilegislature.gov/,AN ACT RELATING TO HEALTH AND SAFETY -- EXTENDED PRODUCER RESPONSIBILITY FOR PACKAGING (Reduces equitable relationships between packaging producers and local governments and communities by establishing the Package Reduction and Recycling Program.),
36403,RI,HB-5091,weakens,0.95,advances,0.95,"The bill establishes an Extended Producer Responsibility program (Package Reduction and Recycling Program) for packaging, creating a new circular-economy framework.",https://status.rilegislature.gov/,AN ACT RELATING TO HEALTH AND SAFETY -- EXTENDED PRODUCER RESPONSIBILITY FOR PACKAGING (Reduces equitable relationships between packaging producers and local governments and communities by establishing the Package Reduction and Recycling Program.),
38489,HI,SB-2727,weakens,0.95,advances,0.7,"The bill strengthens the deposit-return program by requiring annual CPI-based adjustments to handling fees, sustaining redemption infrastructure, while the dealer redemption-center exemption is a narrow carve-out conditioned on proximity to an existing certified center.",http://capitol.hawaii.gov/Archives/measure_indiv_Archives8-12.aspx?billtype=SB&billnumber=2727&year=2020,RELATING TO DEPOSIT BEVERAGE CONTAINERS.,
47791,CA,SB1341,weakens,0.95,neutral,0.7,The bill makes administrative adjustments to processing fee calculations for wine and distilled spirits containers within the existing beverage container recycling program without clearly broadening or narrowing the program's scope.,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260SB1341,Beverage containers: wine and distilled spirits: processing fees.,
39298,MD,HB-1522,weakens,0.85,neutral,0.55,"The title concerns general preemption of local laws but lacks specific text tying it to any circular-economy policy, making its direction unclear.",http://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb1522?ys=2020RS&search=True,General Provisions - Public General Law - Preemption of Local Laws,
40818,MD,SB-756,weakens,0.85,neutral,0.6,"The bill addresses general preemption of local laws without specifying a circular-economy policy, making its direction unclear from the available text.",http://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0756?ys=2020RS&search=True,General Provisions - Public General Law - Preemption of Local Laws,
46274,NE,LB-794,weakens,0.72,advances,0.6,"While it eliminates the Healthy Soils Task Force, it grants natural resources districts powers over soil and water practices, continuing and operationalizing soil-health policy rather than ending it.",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=62733,"Change and eliminate provisions relating to the Healthy Soils Task Force, require the Department of Agriculture to submit related documentation, and provide powers to natural resources districts regarding soil and water practices",
30734,OR,HB-4030,weakens,0.95,weakens,0.95,"The bill exempts packaging for certain berries and meat, poultry, fish and seafood from Oregon's producer responsibility requirements, narrowing the EPR program's scope.",https://olis.oregonlegislature.gov/liz/2026R1/Measures/Overview/HB4030,Relating to packaging subject to producer responsibility requirements; prescribing an effective date.,
30802,OR,HB-3780,weakens,0.95,weakens,0.9,"The bill removes newspaper from coverage under the producer responsibility laws, narrowing the scope of EPR obligations.",https://olis.oregonlegislature.gov/liz/2025R1/Measures/Overview/HB3780,Relating to producer responsibility; declaring an emergency.,
30816,OR,HB-3981,weakens,0.95,weakens,0.85,"The bill delays and temporarily prohibits enforcement of responsible end market requirements under Oregon's EPR recycling program, narrowing the policy's near-term effect.",https://olis.oregonlegislature.gov/liz/2025R1/Measures/Overview/HB3981,Relating to delayed implementation of responsible end market requirements; declaring an emergency.,
30851,OR,HB-4013,weakens,0.95,weakens,0.92,"It exempts glass wine containers from the producer responsibility program's 'covered product' definition and bars DEQ enforcement, narrowing the EPR law's scope.",https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4013,Relating to wine packaging; declaring an emergency.,
31271,MN,HF-1371,weakens,0.95,weakens,0.95,"The bill exempts paper products from Minnesota's EPR program for solid waste, carving a product category out of the policy's scope.",https://www.revisor.mn.gov/bills/94/2025/0/HF/1371?body=House,Paper products exempted from the extended producer responsibility program managing solid waste.,
31283,MN,SF-2619,weakens,0.95,weakens,0.95,"The bill exempts paper products from Minnesota's extended producer responsibility program, carving them out and narrowing the EPR program's scope.",https://www.revisor.mn.gov/bills/94/2025/0/SF/2619?body=Senate,Paper products exemption from the extended producer responsibility program managing solid waste provision,
33869,IA,HF-2026,weakens,0.95,weakens,0.7,"The bill expands the circumstances under which dealers/redemption centers may refuse to accept empty beverage containers and pay refunds, narrowing the reach of Iowa's deposit-return program.",https://www.legis.iowa.gov/legislation/billTracking/billHistory?billName=HF 2026&ga=90,"A bill for an act relating to persons authorized to refuse to accept and pay the refund value of an empty beverage container, and making penalties applicable.",
34171,CT,HB-5120,weakens,0.95,weakens,0.98,"The bill eliminates Connecticut's bottle bill, repealing the deposit-return system for beverage containers.",https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB5120&which_year=2023,AN ACT ELIMINATING THE BOTTLE BILL.,
34467,SC,H-3985,weakens,0.95,weakens,0.85,"The bill sets a sunset/expiration date for South Carolina's e-waste manufacturer responsibility act and its implementing regulation, terminating the EPR program.",https://www.scstatehouse.gov/billsearch.php?billnumbers=3985&session=124&summary=B,E-Waste Act Sunset Provision With Regulation,
34869,MD,SB-926,weakens,0.95,weakens,0.6,"Altering the definition of 'exempt material' under the packaging EPR program suggests broadening what is exempted, narrowing the program's scope.",http://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0926?ys=2026RS,Producer Responsibility for Packaging and Paper Products - Definition of Exempt Material - Alteration,
35056,CO,SB-90,weakens,0.95,weakens,0.95,"The bill carves IT equipment used in critical infrastructure out of Colorado's consumer right-to-repair law, narrowing the policy's scope.",https://leg.colorado.gov/bills/SB26-090,Exempt Critical Infrastructure from Right to Repair,
35251,WA,HB-1393,weakens,0.95,weakens,0.78,"The bill delays implementation dates for the photovoltaic module stewardship and takeback program, postponing the policy's effect.",http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1393&year=2021,Delaying certain implementation dates for the photovoltaic module stewardship and takeback program.,
